Maine 2025 Priority Bills,Stance,Issues,Status Text,Future Hearing Dates,Last Timeline Action,Source Link,AI Summary,Sponsors List,Cosponsors List
L.D. 741 (H.P. 483): An Act to Increase Preparedness for Solar Power Adoption in Maine ,Watching,,Introduced or Prefiled,3/20/2025,The Bill Was Referred To The Committee On Housing And Economic Development In Concurrence,https://legislature.maine.gov/billtracker/#Paper/741?legislature=132,"The legislative text outlines a mandate for the Technical Building Codes and Standards Board to incorporate specific standards from the 2021 edition of the International Energy Conservation Code, specifically Appendix CB, into the Maine Uniform Building and Energy Code. This inclusion targets the construction of new commercial buildings, aiming to enhance energy efficiency and preparedness for solar power adoption in Maine. The legislation specifies that the definition of ""new commercial buildings"" should exclude those that have secured all necessary permits and approvals before July 1, 2026, as well as buildings receiving funding from the Maine State Housing Authority. This effectively modifies the existing statute, 10 MRSA §9722, sub-§6, ¶B, by expanding the scope of the energy code to include the latest standards for commercial construction, while also providing exceptions to ensure a smooth transition for projects already in progress or funded by the state housing authority.",ME Rep. Charles Skold (D-ME-119),
"L.D. 757 (S.P. 290): Resolve, to Study and Oversee Water in the State of Maine ",Watching,,Introduced or Prefiled,,The Resolve Was Referred To The Committee On Environment And Natural Resources. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/757?legislature=132,"The legislative text establishes a Commission to Study the Role of Water as a Resource in the State of Maine, comprising 17 members appointed by various state officials, including members of the Senate, House of Representatives, and representatives from public, commercial, and tribal interests. The commission's primary objective is to develop findings and recommendations to ensure the availability of clean, safe, and accessible drinking water for Maine's residents and to address the needs of commercial and business interests. The commission is tasked with reviewing a previous report from 2021 and considering various issues such as public access to water resource information, drought preparedness, groundwater rights, contamination protection, and the regulation of large-scale groundwater extraction. Additionally, the commission will review the legal status of groundwater rights, the structure of state agency oversight, and proposed rules regarding the transfer of permits or contracts in the sale of water-exporting entities. The commission is required to submit a report with its findings and recommendations, including any proposed legislation, to the Joint Standing Committee on Taxation by December 3, 2025. Furthermore, the Maine Public Drinking Water Commission is mandated to adopt major substantive rules concerning the transfer of permits or contracts in the sale of assets of entities exporting water from the state. These proposed rules must be submitted for review to the newly established commission by November 1, 2025, before undergoing legislative review.",ME Sen. Rick Bennett (R-ME-018),"ME Rep. Daniel ""Dan"" Sayre (D-ME-135)"
L.D. 694 (S.P. 311): An Act to Require Petitions for Interstate Transmission Lines to Include Provisions for Conservation Funding ,Watching,,Introduced or Prefiled,,"Received By The Secretary Of The Senate On February 20, 2025 And Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/694?legislature=132,"The legislative text introduces a requirement for petitions seeking approval to develop high-impact electric transmission lines in Maine. The primary provision mandates that such petitions must include a financial commitment to the Land for Maine's Future Trust Fund. Specifically, the legislation stipulates an annual payment of $10,000 per megawatt of the transmission line's nameplate capacity. Furthermore, it requires that at least 20% of this payment be allocated to the Conservation Land Management Fund. This measure aims to ensure that the development of significant electric transmission infrastructure is accompanied by contributions to conservation efforts. The legislation modifies the existing statute, 35-A MRSA §3132, by adding subsection 6-F, which outlines these new financial obligations for developers. There are no specific timelines or deadlines mentioned in the text regarding the implementation of these provisions.",ME Sen. Teresa Pierce (D-ME-025),
L.D. 687 (S.P. 304): An Act to Assert State Ownership over Ocean Waters up to 12 Nautical Miles and Submerged Lands and Marine Resources up to 24 Nautical Miles off the State's Coast and to Direct the Attorney General to Study That Ownership ,Watching,,Introduced or Prefiled,,Reported Out Awd,https://legislature.maine.gov/billtracker/#Paper/687?legislature=132,"The proposed legislation aims to establish the State of Maine's ownership and jurisdiction over ocean waters extending up to 12 nautical miles from the coastline, as well as submerged lands and marine resources up to 24 nautical miles offshore. This initiative seeks to assert state control over these areas, potentially impacting the management and utilization of marine resources. Additionally, the bill mandates the Office of the Attorney General to conduct a study on the legal implications of state ownership and sovereignty over marine resources beyond the 12-nautical-mile territorial sea limit. The legislation does not specify any funding allocations or financial figures related to its implementation. Furthermore, it does not introduce any modifications to existing laws or statutes, nor does it outline specific timelines or deadlines for the proposed actions.","ME Sen. Joseph ""Joe"" Martin (R-ME-019)",
"L.D. 635 (H.P. 403): Resolve, to Direct the Attorney General to Drop the Lawsuit Filed Against Big Oil Companies Concerning Climate Change ",Oppose,,Introduced or Prefiled,,"Received By The Clerk Of The House On February 20, 2025. The Resolve Was Referred To The Committee On Judiciary Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/635?legislature=132,"The legislative document mandates the Department of the Attorney General to terminate its involvement in the lawsuit titled ""State of Maine v. BP, PLC et al,"" which is currently active in the United States District Court, District of Maine. This action requires the Attorney General to formally dismiss and withdraw from the case, effectively ceasing any legal proceedings against the oil companies involved. The legislation does not specify any financial allocations or funding related to this directive, nor does it introduce changes to existing laws or statutes beyond the immediate cessation of the lawsuit. Additionally, the document does not outline any specific timelines or deadlines for the withdrawal process, indicating that the action should be taken promptly upon the legislation's enactment.","ME Rep. William ""Will"" Tuell (R-ME-010)",
L.D. 622 (H.P. 390): An Act to Implement a Surcharge on Electric Vehicle Registration ,Watching,,Introduced or Prefiled,,"Received By The Clerk Of The House On February 20, 2025. The Bill Was Referred To The Committee On Transportation Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/622?legislature=132,"The legislative text introduces a new surcharge on the registration of electric vehicles in the state of Maine. The primary provision mandates that owners of fully electric vehicles, including those powered by electricity from compressed hydrogen fuel, pay an annual registration surcharge of $250. This surcharge is in addition to any other applicable registration fees. The legislation allows for the surcharge to be paid in two biannual installments, providing some flexibility for vehicle owners. The funds collected from this surcharge are designated to be transmitted to the Treasurer of State and credited to the Highway Fund, which supports the maintenance and development of the state's transportation infrastructure. The Secretary of State is tasked with adopting rules to implement this surcharge. This legislation amends Title 29-A of the Maine Revised Statutes by adding a new subsection specifically addressing the electric vehicle registration surcharge.",ME Rep. Allison Hepler (D-ME-049),
L.D. 716 (H.P. 455): An Act to Restrict the Hunting of Coyotes ,Support,,Introduced or Prefiled,3/17/2025,"Received By The Clerk Of The House On February 20, 2025. The Bill Was Referred To The Committee On Inland Fisheries And Wildlife Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/716?legislature=132,"The legislative text introduces new regulations concerning the hunting of coyotes in Maine, primarily focusing on the establishment of a defined hunting season and the imposition of stricter penalties for violations. The legislation amends existing statutes to set the coyote hunting season from October 1st to March 31st, replacing the previous timeframe of December 16th to August 31st. Additionally, it allows the commissioner to appoint agents to hunt coyotes at night using artificial illumination from September 1st to December 15th, with a requirement to inform the public and law enforcement about these operations. The bill also revises the penalties for illegal coyote hunting, mandating a $500 fine and a one-year hunting license revocation for those convicted of hunting coyotes without a permit or outside the designated season. These changes are reflected in amendments to sections 12 MRSA §10902, §11160, and §12001, which include the insertion of new penalty provisions and the adjustment of the hunting season dates.",ME Rep. Nina Milliken (D-ME-016),
"L.D. 646 (H.P. 414): Resolve, Establishing the Commission to Study Unregulated Storm Water Pollution ",Support,,Introduced or Prefiled,3/19/2025,"Received By The Clerk Of The House On February 20, 2025. The Resolve Was Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/646?legislature=132,"The legislation establishes a Commission to Study How to Address Unregulated Storm Water Pollution, recognizing the urgency of the issue as an emergency measure. The commission is tasked with reviewing and analyzing existing scientific literature and data on storm water pollution, focusing on its effects on the state's waters, habitats, and species. The commission comprises 13 members, including legislators, representatives from environmental and community groups, municipal government, and relevant state departments. The commission's duties include identifying the effects of storm water pollution, compiling data to identify knowledge gaps, prioritizing strategies to fill these gaps, recommending policies to reduce pollution, and identifying barriers to implementing these policies. The commission is authorized to seek outside funding for its study, subject to approval by the Legislative Council. The commission must submit a report with its findings and recommendations, including any proposed legislation, to the Joint Standing Committee on Environment and Natural Resources by December 3, 2025. The committee is authorized to submit a bill related to the report's subject matter to the Second Regular Session of the 132nd Legislature. The legislation mandates that all appointments to the commission be made within 30 days of the legislation's effective date, with the first meeting convened within 45 days thereafter.","ME Rep. Arthur ""Art"" Bell (D-ME-103)",
L.D. 725 (H.P. 464): An Act to Advance Equitable Energy Policy in Maine ,Watching,,Introduced or Prefiled,,"Received By The Clerk Of The House On February 20, 2025. The Bill Was Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/725?legislature=132,"The proposed legislation aims to update Maine's energy regulation laws to address equity concerns, ensuring fair and just access to energy resources for all residents. While the bill is currently a concept draft, it outlines the intention to revise existing statutes to promote equitable energy policies. The legislation does not specify funding allocations or financial figures, nor does it provide detailed modifications to current laws at this stage. Additionally, the bill does not mention specific timelines or deadlines for implementation or further legislative action. The focus is on establishing a framework for future detailed proposals that will address disparities in energy access and regulation.",ME Rep. Sophia Warren (D-ME-124),
L.D. 568 (S.P. 248): An Act to Modify the Process for Standard-offer Contracts with the Public Utilities Commission ,Watching,,Introduced or Prefiled,3/19/2025,Work Session Held Tabled,https://legislature.maine.gov/billtracker/#Paper/568?legislature=132,"The legislative text outlines modifications to the process for standard-offer contracts managed by the Public Utilities Commission in Maine. The primary provision of the legislation is to limit the duration of standard-offer service contracts to six months. This change aims to enhance market responsiveness and adaptability by ensuring that contracts are reviewed and potentially renewed more frequently. Additionally, the legislation mandates that if the Public Utilities Commission rejects all bids for a new contract at the end of the current contract's term, the existing contract will continue until a new bid is accepted. This provision ensures continuity of service and prevents potential service disruptions. Furthermore, if a standard-offer service provider proposes a new contract with a higher electricity rate than the expiring contract, the provider is required to justify the rate increase. This requirement is intended to promote transparency and accountability in pricing. The legislation amends the existing statute 35-A MRSA §3212, sub-§2, ¶B, by specifying the maximum contract duration and adding conditions for contract continuation and rate increase justification.",ME Sen. Matt Harrington (R-ME-033),
L.D. 560 (S.P. 239): An Act to Authorize a General Fund Bond Issue to Improve Coastal Climate Resiliency ,Watching,,Introduced or Prefiled,,"Received By The Secretary Of The Senate On February 19, 2025 And Referred To The Committee On Appropriations And Financial Affairs Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/560?legislature=132,"The legislative text outlines a proposal to authorize the issuance of bonds by the State of Maine, amounting to $75,000,000, aimed at enhancing coastal climate resiliency. The primary objective of this legislation is to provide financial support in the form of grants to county, municipal, and tribal governments, as well as regional councils, to improve their coastal climate resiliency and upgrade engineered beaches. The bonds, which are backed by the full faith and credit of the State, are not to exceed a 10-year term from their original issuance date. The Treasurer of State is responsible for maintaining records of the bonds, negotiating their sale under the Governor's direction, and ensuring that the proceeds are used exclusively for the purposes outlined in the Act. Any unspent funds at the project's completion will revert to the Office of the Treasurer of State for the retirement of general obligation bonds. The legislation also stipulates that any bonds not issued within five years of ratification will be deauthorized, although the Legislature may extend this period by up to five additional years. The Act's effectiveness is contingent upon voter approval in a statewide referendum scheduled for November, where voters will decide on the bond issue through a ballot question. If a majority of votes are in favor, the Act will become effective 30 days after the Governor's proclamation of the results.",ME Sen. Donna Bailey (D-ME-031),
L.D. 585 (S.P. 268): An Act to Use Certain Regional Transmission Organization Payments for Beneficial Electrification to Reduce Electricity Rates ,Watching,,Introduced or Prefiled,3/19/2025,"Received By The Secretary Of The Senate On February 19, 2025 And Referred To The Committee On Energy, Utilities And Technology Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/585?legislature=132,"The legislative text outlines amendments to the existing statute 35-A MRSA §10103, sub-§4, which governs program funding related to energy initiatives in Maine. The primary objective of the legislation is to modify the allocation of funds received from regional transmission organizations, specifically forward capacity market payments. Previously, these funds were restricted to promoting high-performance air source heat pump technology within a specified timeframe. The new legislation removes this temporal limitation and expands the eligible use of these funds to include electric vehicles, alongside heat pumps. The aim is to support beneficial electrification measures that are cost-effective and contribute to reducing electricity rates over their lifespan. The legislation also updates the language to emphasize the promotion and supplementation of incentives for these electrification measures. Additionally, the board responsible for managing these funds is authorized to receive and deposit grants from various sources, including municipal, state, federal, and private entities, into appropriate program funds. The legislation does not specify any new funding figures or deadlines but focuses on broadening the scope and application of existing funds to enhance energy efficiency and reduce costs.",ME Sen. Henry Ingwersen (D-ME-032),
L.D. 593 (S.P. 277): An Act to Extend Funding for the Land for Maine's Future Program ,Support,,Introduced or Prefiled,,"Received By The Secretary Of The Senate On February 19, 2025 And Referred To The Committee On Agriculture, Conservation And Forestry Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/593?legislature=132,"The legislative text outlines a bill that aims to extend funding for the Land for Maine's Future Program. The primary provision of this legislation is to allocate ongoing financial support for eligible expenditures and other authorized purposes as specified under the Maine Revised Statutes, Title 5, section 6203-D. The bill specifies an appropriation of $10,000,000 annually from the General Fund for the fiscal years 2025-26 and 2026-27. This funding is intended to support the Land for Maine's Future Trust Fund, ensuring the continuation of its conservation and land acquisition efforts. The legislation does not introduce any modifications to existing laws or statutes beyond the financial allocations. No specific timelines or deadlines are mentioned in the bill, aside from the fiscal years for which the funding is allocated.",ME Sen. Russell Black (R-ME-005),
L.D. 556 (S.P. 218): An Act to Preserve Heating and Energy Choice by Prohibiting a Municipality from Prohibiting a Particular Energy System or Energy Distributor ,Oppose,,Introduced or Prefiled,3/24/2025,The Bill Was Referred To The Committee On State And Local Government. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/556?legislature=132,"The legislative text introduces a new provision to the Maine Revised Statutes, specifically 30-A MRSA §3015, which aims to preserve the freedom of choice in heating and energy systems for individuals and entities. The primary objective of this legislation is to prevent municipalities from enacting ordinances or regulations that would prohibit the use of any safe and commercially available heating or energy system chosen by an individual or entity to meet their heating or energy needs, including those related to motor vehicles. Additionally, it restricts municipalities from barring individuals or entities from hiring services of energy distributors for the installation, connection, servicing, or resupply of such systems. The term ""energy distributor"" is defined to include those authorized to supply oil, propane, natural gas, wood, or renewable resources, as per the existing definition in Title 35-A, Section 3210, Subsection 2, Paragraph C. While the legislation restricts prohibitive actions by municipalities, it does not prevent them from promoting or financially supporting specific types of heating or energy systems. Furthermore, it maintains that all individuals and energy distributors must comply with existing licensing and regulatory requirements when performing related activities. The legislation does not specify any funding allocations or financial figures, nor does it introduce any significant timelines or deadlines.",ME Sen. Matt Harrington (R-ME-033),
L.D. 553 (S.P. 208): An Act to Assert State Sovereignty over Ocean Waters and Marine Resources up to 12 Nautical Miles off the State's Coast ,Watching,,Introduced or Prefiled,3/20/2025,The Bill Was Referred To The Committee On Marine Resources. In Concurrence. Ordered Sent Forthwith.,https://legislature.maine.gov/billtracker/#Paper/553?legislature=132,"The legislation aims to assert Maine's sovereignty over ocean waters and marine resources up to 12 nautical miles off its coast. It modifies existing state law to extend Maine's jurisdiction over these waters, emphasizing the state's control over the territorial sea and the harvesting of marine resources within this area. The law specifies that the state owns and may exercise jurisdiction over all waters within the rise and fall of the tide seaward to 12 nautical miles, and it controls the harvesting of living resources up to this limit, subject to the boundary with Canada. The legislation mandates the Office of the Attorney General to take necessary actions to assert this sovereignty, including negotiations with the United States Department of Commerce and potential litigation. A report on the progress of these actions is required to be submitted to the Joint Standing Committee on Marine Resources by May 1, 2025. The bill is enacted as an emergency measure, taking effect immediately upon approval, due to the urgent need to address recent federal decisions impacting the state's commercial fishing industry, particularly concerning herring catch limits.","ME Sen. Joseph ""Joe"" Martin (R-ME-019)",
L.D. 543 (H.P. 362): An Act to Enhance Maine's Wildlife Conservation Efforts and Preserve Maine's Sporting Heritage by Requiring Hunter Safety Education in Schools ,Watching,,Introduced or Prefiled,,Voted Divided Report,https://legislature.maine.gov/billtracker/#Paper/543?legislature=132,"The legislative text introduces a mandate for all public and private schools in Maine to incorporate a firearm hunter safety course into their curriculum, with the requirement that students complete this course by grade 9. The course aims to enhance wildlife conservation efforts and preserve the state's sporting heritage by educating students on various topics, including survival and first aid practices, landowner relations, hunter ethics, state hunting laws, safe firearms handling, map and compass usage, outdoor survival, and wildlife conservation and biology. Successful completion of the course is a prerequisite for graduation from secondary schools and entitles students to receive a hunter safety certificate from the Department of Inland Fisheries and Wildlife. This certificate fulfills the safety course requirement outlined in Title 12, Section 11105, necessary for obtaining an adult hunting license in Maine. The legislation does not specify any funding allocations or changes to existing financial statutes, nor does it provide specific timelines or deadlines beyond the educational requirement by grade 9.",ME Rep. Donald Ardell (R-ME-006),
L.D. 529 (H.P. 348): An Act Regarding Dams ,Watching,,Introduced or Prefiled,,The Bill Was Referred To The Committee On Environment And Natural Resources In Concurrence,https://legislature.maine.gov/billtracker/#Paper/529?legislature=132,"The proposed legislation aims to amend the existing laws governing dams within the state of Maine. The primary objective of this legislative effort is to update and potentially enhance the regulatory framework surrounding the management, maintenance, and oversight of dams. Although the bill is currently a concept draft, it suggests a comprehensive review and modification of the current statutes to address any emerging issues or inefficiencies in the existing system. The bill does not specify any funding allocations or financial figures, nor does it outline specific changes to current laws or regulations at this stage. Additionally, there are no explicit timelines or deadlines mentioned within the text, indicating that the legislative process is in its preliminary stages, focusing on conceptual development and stakeholder engagement.",ME Rep. Nina Milliken (D-ME-016),
