Maine 2025 Priority Bills,Stance,Issues,Status Text,Future Hearing Dates,Last Timeline Action,Source Link,AI Summary,Sponsors List,Cosponsors List
L.D. 1349 (S.P. 566): An Act to Require Legislative Approval for a Contract to Operate the Juniper Ridge Landfill ,Watching,,Introduced or Prefiled,,"Received By The Secretary Of The Senate On March 28, 2025 And Referred To The Committee On Environment And Natural Resources Pursuant To Joint Rule 308.2",https://legislature.maine.gov/billtracker/#Paper/1349?legislature=132,The legislative document from the 132nd Maine Legislature introduces a bill that mandates legislative approval for any contract or contract renewal concerning the operation of the state-owned Juniper Ridge Landfill in Old Town. This requirement is added as a new subsection to the existing statute 38 MRSA §1304-B. The bill specifies that legislative approval is necessary but does not replace any other legal licenses required for the landfill's operation. The bill is presented by Senator Tipping of Penobscot and cosponsored by several other legislators. This legislative change aims to ensure that the operation of the landfill is subject to greater oversight and accountability by involving the legislature in the approval process.,"ME Sen. Mike ""Michael"" Tipping (D-ME-008)",
"L.D. 1359 (H.P. 882): Resolve, to Direct the Department of Transportation to Develop Practices Regarding Public Transit ",Watching,,Introduced or Prefiled,,"Received By The Clerk Of The House On March 28, 2025. The Resolve Was Referred To The Committee On Transportation Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/1359?legislature=132,"The legislative document from the 132nd Maine Legislature directs the Department of Transportation to develop practices aimed at enhancing public transit. Key initiatives include increasing transparency in funding allocation by publishing annual transit distributions both in print and online, reducing the local match requirement for rural public transit funding, and fostering collaboration with the Department of Health and Human Services to improve transit services between healthcare providers and their consumers. The Department is required to report its progress on these initiatives to the Joint Standing Committee on Transportation by December 3, 2025.",ME Rep. Lydia Crafts (D-ME-046),
"L.D. 1355 (H.P. 878): Resolve, to Require the Office of Tax Policy to Study Taxation of Renewable Energy Infrastructure ",Watching,,Introduced or Prefiled,4/9/2025,"Received By The Clerk Of The House On March 28, 2025. The Resolve Was Referred To The Committee On Taxation Pursuant To Joint Rule 308.2 And Ordered Printed Pursuant To Joint Rule 401.",https://legislature.maine.gov/billtracker/#Paper/1355?legislature=132,"The legislative document from the 132nd Maine Legislature mandates the Office of Tax Policy within the Department of Administrative and Financial Services to conduct a comprehensive study on the taxation of renewable energy infrastructure. This study will explore the current taxation framework, including personal and real property taxes on renewable energy systems like solar, wind, and battery storage. It will also assess the historical and potential impacts of these taxes on municipal and county revenue, the challenges in valuing renewable energy infrastructure, and the feasibility of a uniform capacity tax. The study aims to determine fair compensation for municipalities without hindering project viability and to evaluate the effectiveness of current financial programs like tax increment financing. The Office of Tax Policy is tasked with consulting various stakeholders, including the Governor's Energy Office and industry experts, and must submit a report with findings and recommendations by December 3, 2025. The Joint Standing Committee on Taxation may propose legislation based on this report in the subsequent legislative session.",ME Rep. Tavis Hasenfus (D-ME-057),
L.D. 257 (S.P. 124): An Act to Eliminate the Practice of Net Energy Billing ,Oppose,,Introduced or Prefiled,4/10/2025,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/257?legislature=132,"The legislative document from the 132nd Maine Legislature proposes the elimination of net energy billing practices. It repeals several sections of the Maine Revised Statutes that previously allowed for net energy billing, including sections 35-A MRSA §3209-A, §3209-B, §3209-C, and §3209-D, among others. The bill prohibits the Public Utilities Commission from requiring transmission and distribution utilities to permit customers to participate in net energy billing, which previously allowed customers to receive bill credits for electricity they generated and delivered to the grid. Additionally, the bill amends tax laws to remove exemptions for solar energy equipment used in net energy billing. The changes are set to take effect for property tax years beginning on or after April 1, 2025. This legislation aligns with the organization's mission to regulate energy practices by removing incentives for net energy billing, potentially impacting renewable energy adoption and financial incentives for solar energy users.",,
"L.D. 197 (S.P. 84): Resolve, to Direct the Governor's Energy Office to Conduct a Study Regarding the Future of Electric Transmission Infrastructure in the State ",Watching,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/197?legislature=132,"The legislative document from the 132nd Maine Legislature mandates the Governor's Energy Office to conduct a comprehensive study on the future needs of electric transmission infrastructure in the state. This study will examine current processes for siting and permitting, best practices from other regions, existing analyses of future needs, potential use of rights-of-way, and emerging technologies. The office is required to coordinate with various state agencies and a diverse stakeholder group, including representatives from public utilities, environmental protection, and private sectors, to gather information. The findings and recommendations from this study are to be reported to the Joint Standing Committee on Energy, Utilities and Technology by September 1, 2026. The committee may then propose related legislation to the 133rd Legislature in 2027. The legislation is considered an emergency measure, allowing it to take effect immediately upon approval.",ME Sen. Scott Cyrway (R-ME-016),
"L.D. 29 (S.P. 46): Resolve, to Require the Department of Transportation to Implement the Recommendations of the Lower Road Rail Use Advisory Council ",Watching,,Introduced or Prefiled,4/10/2025,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/29?legislature=132,"The legislative document from the 132nd Maine Legislature mandates the Department of Transportation to implement the recommendations of the Lower Road Rail Use Advisory Council. This involves converting 33.5 miles of inactive railroad track between Brunswick and Gardiner, including a portion in Hallowell, into a bicycle and pedestrian trail. The conversion is interim, preserving the corridor for potential future rail use, as per the State Railroad Preservation and Assistance Act. The project is contingent on available funding, permits, and municipal agreements. The initiative follows the council's majority recommendation and requires legislative approval before any track removal or changes for nonrail use can occur.",ME Sen. Mattie Daughtry (D-ME-023),ME Rep. Sally Cluchey (D-ME-052)
L.D. 26 (S.P. 41): An Act to Add an Inflation Adjustment to the Maximum Amount of Funding Disbursed from the Maine Ground and Surface Waters Clean-up and Response Fund for Certain Personal Services of the Department of Environmental Protection ,Watching,"Water Quality, Water",Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/26?legislature=132,"The legislative document from the 132nd Maine Legislature proposes an amendment to the existing statute governing the Maine Ground and Surface Waters Clean-up and Response Fund. Specifically, it modifies 38 MRSA §551, sub-§5, ¶A to include an annual adjustment for the maximum disbursement amount for personal services of the Department of Environmental Protection. Previously capped at $7,000,000 per fiscal year, this amount will now be adjusted annually based on the Consumer Price Index as published by the U.S. Department of Labor, Bureau of Labor Statistics. This change aims to account for inflation in the funding allocated for administrative expenses, personal services, and equipment costs related to the department's operations.",ME Sen. Anne Carney (D-ME-029),
L.D. 32 (S.P. 49): An Act to Repeal the Laws Regarding Net Energy Billing ,Oppose,,Introduced or Prefiled,4/10/2025,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/32?legislature=132,"The legislative document from the 132nd Maine Legislature proposes the repeal of laws related to net energy billing. Specifically, it repeals sections 35-A MRSA §3209-A, §3209-B, §3209-C, §3209-D, §3209-E, and §3214, which previously governed net energy billing programs. The bill prohibits the Public Utilities Commission from requiring transmission and distribution utilities to allow customers to participate in net energy billing, which is a practice where customers receive bill credits for electricity they generate and supply back to the grid. Additionally, the bill amends tax laws to remove exemptions for solar energy equipment used in net energy billing, requiring that all energy generated by such equipment be used on-site. The changes are set to take effect for property tax years beginning on or after April 1, 2025. This legislative action aligns with a shift away from incentivizing net energy billing and towards ensuring that energy generated by solar equipment is used directly on the site where it is produced.",ME Sen. Stacey Guerin (R-ME-004),
"L.D. 260 (H.P. 163): RESOLUTION, Proposing an Amendment to the Constitution of Maine to Establish That All Maine Residents Have Equal Rights Under the Law ",Support,,Introduced or Prefiled,,Reported Out Otp-Am/Ontp,https://legislature.maine.gov/billtracker/#Paper/260?legislature=132,"The legislative text pertains to an amendment to a resolution, H.P. 163, L.D. 260, which proposes an amendment to the Constitution of Maine to ensure that all Maine residents have equal rights under the law. The amendment, which is the majority report of the committee, includes the incorporation of a fiscal note. This suggests that the amendment has financial implications that need to be considered, although specific figures or allocations are not detailed in the text provided. The focus of the amendment aligns with the mission of promoting equality and ensuring equal rights for all residents, which is a fundamental aspect of civil rights advocacy.",ME Rep. Holly Sargent (D-ME-147),
"L.D. 300 (H.P. 200): Resolve, to Direct the Public Utilities Commission to Study Expanding the Use of Hydroelectric Power and the Development of a Geothermal Power Plant in the State ",Watching,,Introduced or Prefiled,,Voted Otp-Am,https://legislature.maine.gov/billtracker/#Paper/300?legislature=132,"The legislative document from the 132nd Maine Legislature directs the Public Utilities Commission to conduct two studies aimed at expanding the state's energy sources. The first study focuses on the hydroelectric power industry, assessing current operations, potential expansions, and the feasibility of restoring decommissioned facilities using new technologies. The second study explores the development of a geothermal power plant, which would utilize earth's heat to generate electricity. The commission is required to submit a report with findings and recommendations to the legislative committee overseeing energy matters by November 4, 2026. This committee may propose related legislation to the 133rd Legislature in 2027.",ME Rep. Mathew McIntyre (R-ME-018),ME Rep. Alicia Collins (R-ME-061)
L.D. 350 (S.P. 134): An Act Regarding the Operations of the Department of Inland Fisheries and Wildlife ,Watching,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/350?legislature=132,"The legislative document from the 132nd Maine Legislature, titled 'An Act Regarding the Operations of the Department of Inland Fisheries and Wildlife,' is a concept draft introduced by Senator Baldacci. The bill aims to propose amendments to the existing laws that govern the operations of the Department of Inland Fisheries and Wildlife. As a concept draft, it outlines the intention to modify current regulations but does not provide specific details or changes at this stage. The document was received by the Secretary of the Senate on January 30, 2025, and referred to the Committee on Inland Fisheries and Wildlife for further consideration.",ME Sen. Joe Baldacci (D-ME-009),
L.D. 25 (S.P. 40): An Act to Authorize a General Fund Bond Issue to Fund Wastewater Treatment Facility Planning and Construction of Infrastructure Projects ,Support,"Sewer Systems, Water",Introduced or Prefiled,4/10/2025,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/25?legislature=132,"The legislative document from the 132nd Maine Legislature proposes an act to authorize a $50,000,000 General Fund bond issue aimed at funding wastewater treatment facility planning and infrastructure projects. The bond, which will be issued under the direction of the Governor and managed by the Treasurer of State, is intended to provide grants to municipalities, quasi-municipal entities, and unorganized townships for the planning and construction of wastewater treatment facilities. The bond will have a maximum term of 10 years, and any unspent funds after project completion will revert to the Treasurer's office for bond retirement. The act requires ratification by the state's voters in a November election, and if approved, will become effective 30 days after the Governor's proclamation of the results. The act also includes provisions for the management of unissued bonds and the carry-forward of unencumbered appropriation balances at the fiscal year-end.",ME Sen. Stacy Brenner (D-ME-030),
L.D. 36 (S.P. 58): An Act to Clarify Processes of the Board of Environmental Protection ,Watching,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/36?legislature=132,"The legislative document from the 132nd Maine Legislature aims to clarify processes related to the Board of Environmental Protection. It amends existing statutes to specify that the Commissioner of Environmental Protection is not required to notify the Board of Environmental Protection about permit by rule notifications, waste transporter applications, and occupational licenses. Additionally, applicants are not required to provide public notice for these categories. The bill also modifies the timeline for appealing orders related to uncontrolled hazardous substance sites, allowing applications for hearings to be made within 10 working days after the service of the order, rather than after receipt. The board is required to hold hearings as expeditiously as possible, rather than within a fixed 15-day period, and to publish decisions within 2 working days after the decision is made, rather than after the hearing and vote. These changes streamline the process and reduce the administrative burden on both the department and applicants.",ME Sen. Denise Tepler (D-ME-024),
L.D. 469 (S.P. 207): An Act to Prioritize State Access to Electricity Generated in Canada via High-impact Electric Transmission Lines ,Watching,,Introduced or Prefiled,,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/billtracker/#Paper/469?legislature=132,"The legislative document from the 132nd Maine Legislature introduces a bill aimed at prioritizing state access to electricity generated in Canada through high-impact electric transmission lines. The bill mandates that, starting December 31, 2026, at least 50% of the electricity delivered by these lines must be consumed within Maine. The Public Utilities Commission (PUC) is prohibited from approving new transmission lines that do not meet this local consumption standard, unless it would compromise grid reliability or regional energy agreements. The bill also establishes reporting requirements for operators of these lines and imposes penalties for non-compliance, with fines directed to the Public Utilities Commission Energy Affordability Fund. This fund is intended to provide rebates to electricity customers in Maine. Additionally, the bill requires the PUC to evaluate the local consumption standard and its impact on electricity costs and consumption, with a report due by December 31, 2025. A further report assessing the standard's effects on customers and regional markets is due by December 31, 2030. The legislation includes provisions for collaboration with economic development agencies to attract energy-intensive industries to Maine, with annual reporting requirements starting December 31, 2027. The bill and its requirements are set to be repealed on December 31, 2031.","ME Sen. Joseph ""Joe"" Martin (R-ME-019)",
L.D. 457 (S.P. 190): An Act to Fund Climate Resiliency Projects Related to the Repair of Campus Infrastructure Used for Active Transportation and Outdoor Recreation ,Watching,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/457?legislature=132,"The legislative document from the 132nd Maine Legislature proposes an act to allocate one-time funds amounting to $1,000,000 from the General Fund for the fiscal year 2025-26. These funds are intended to support climate resiliency projects focused on repairing historic structures on the Southern Maine Community College campus. The initiative aims to encourage private and federal investments to enhance infrastructure used by the community for active transportation and outdoor recreation. The emphasis is on areas susceptible to sea level rise, increased flooding, erosion, and structural damage. This funding is not related to the college's educational mission but rather to community use, highlighting the importance of adapting to climate change impacts on infrastructure used for recreational purposes.",ME Sen. Anne Carney (D-ME-029),
L.D. 454 (S.P. 187): An Act to Allow Candidates for Secretary of State or Attorney General to Participate in the Maine Clean Election Act ,Watching,,Introduced or Prefiled,,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/billtracker/#Paper/454?legislature=132,"The legislative document from the 132nd Maine Legislature proposes an amendment to the Maine Clean Election Act to allow candidates for the offices of Secretary of State and Attorney General to participate in the program starting with the 2028 election cycle. This amendment modifies several sections of the existing law, 21-A MRSA, to include these offices alongside the Governor, State Senator, and State Representative. The bill outlines the terms of participation, including seed money contribution limits, qualifying contributions, and revenue distribution from the fund. The legislation will only take effect if a constitutional amendment is passed to allow for the popular election of these offices and the application of ranked-choice voting. The commission is tasked with establishing specific terms of participation for these candidates, considering the existing terms for gubernatorial and legislative candidates. The bill emphasizes the need for effective administration and compliance with the Maine Clean Election Act.",ME Sen. Joe Baldacci (D-ME-009),
L.D. 465 (S.P. 200): An Act to Update Waste Discharge License Fees ,Watching,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/465?legislature=132,"The legislative document from the 132nd Maine Legislature proposes updates to waste discharge license fees, specifically amending 38 MRSA §353-B, sub-§2, ¶A. The bill increases the fees for various waste discharge license groups by a factor of 1.4 from the 2019 bill amounts, unless otherwise indicated. It introduces marine finfish aquaculture facilities and municipal separate storm sewer systems as new waste discharge license groups, establishing the basis for their annual fees. Additionally, the bill clarifies that the fish-rearing facility waste discharge license group now includes terrestrial fish-rearing facilities. The legislation also imposes surcharges on municipalities and publicly owned treatment works whose discharges affect shellfish harvesting areas, with specific amounts allocated based on flow and acreage affected. These changes align with the Department of Environmental Protection's mission to regulate and manage environmental impacts effectively.",ME Sen. Nicole Grohoski (D-ME-007),
L.D. 476 (S.P. 216): An Act to Ban the Sale of Polystyrene Packing Peanuts in the State ,Support,,Introduced or Prefiled,,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/billtracker/#Paper/476?legislature=132,"The legislative document from the 132nd Maine Legislature proposes a ban on the sale of loose polystyrene packing materials, commonly known as packing peanuts, within the state. This prohibition is set to take effect on January 1, 2027. The bill, introduced by Senator Tepler and cosponsored by several representatives, aims to address environmental concerns associated with polystyrene, a material known for its non-biodegradable nature and potential harm to wildlife and ecosystems. The bill aligns with environmental protection efforts by reducing the use of materials that contribute to pollution and waste management challenges.",ME Sen. Denise Tepler (D-ME-024),
L.D. 560 (S.P. 239): An Act to Authorize a General Fund Bond Issue to Improve Coastal Climate Resiliency ,Watching,,Introduced or Prefiled,4/10/2025,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/560?legislature=132,"The legislative document from the 132nd Maine Legislature proposes an act to authorize a $75,000,000 General Fund bond issue aimed at improving coastal climate resiliency. The funds will be administered by the Office of Policy Innovation and the Future as grants to county, municipal, and tribal governments, as well as regional councils, for enhancing coastal climate resiliency and upgrading engineered beaches. The bonds, which are backed by the full faith and credit of the State, will have a maximum term of 10 years. The act includes provisions for the management and sale of the bonds, with any unspent funds after 10 years reverting to the Office of the Treasurer of State for bond retirement. The issuance of the bonds is contingent upon ratification by the voters of Maine in a statewide referendum scheduled for November. If approved, the act will become effective 30 days after the Governor's proclamation of the election results.",ME Sen. Donna Bailey (D-ME-031),
"L.D. 487 (H.P. 316): Resolve, Directing the Northern New England Passenger Rail Authority to Apply for Federal Funding for the Purpose of Identifying the Rail Corridor Connecting Portland to Orono as an Intercity Passenger Rail Corridor ",Watching,,Introduced or Prefiled,,"Carried Over, In The Same Posture, To The Next Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 519.",https://legislature.maine.gov/billtracker/#Paper/487?legislature=132,"The legislative document from the 132nd Maine Legislature directs the Northern New England Passenger Rail Authority to apply for federal funding to identify the rail corridor connecting Portland to Orono as an intercity passenger rail corridor. This application is to be made during the 2025 application period through the federal corridor identification and development program, as established in 49 U.S.C. Section 25101(a) and administered by the U.S. Department of Transportation, Federal Railroad Administration. The rail corridor will extend from Portland through Auburn, Lewiston, Waterville, and Bangor to Orono, with additional station locations as deemed appropriate. The legislation is marked as an emergency to ensure the timely submission of the funding application, taking effect immediately upon approval.",ME Rep. Tavis Hasenfus (D-ME-057),
L.D. 585 (S.P. 268): An Act to Use Certain Regional Transmission Organization Payments for Beneficial Electrification to Reduce Electricity Rates ,Watching,,Introduced or Prefiled,,Reported Out Otp/Ontp,https://legislature.maine.gov/billtracker/#Paper/585?legislature=132,"The legislative document from the 132nd Maine Legislature proposes amendments to the existing statute 35-A MRSA §10103, sub-§4, which pertains to the funding of energy programs. The bill removes the previous restriction that limited the use of forward capacity market payments to a specific timeframe and solely for heat pumps. It expands the eligible use of these funds to include electric vehicles, alongside high-performance air source heat pump technology. The aim is to promote beneficial electrification measures that are cost-effective and reduce electricity rates over their lifespan. The bill also updates the language to allow these funds to supplement incentives for such electrification measures, ensuring they contribute to lowering electricity costs. This aligns with the organization's mission to support sustainable energy solutions and reduce energy costs for consumers.",ME Sen. Henry Ingwersen (D-ME-032),
