Maine 2025 Priority Bills,Stance,Issues,Status Text,Last Timeline Action,Source Link
L.D. 264 (H.P. 185): An Act To Prohibit Aerial Application Of Perfluoroalkyl And Polyfluoroalkyl Substances,Support,"PFAS, Toxics",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078371
L.D. 528 (S.P. 213): An Act To Advance Energy Storage In Maine,Support,"Storage, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078910
L.D. 1407 (S.P. 457): An Act To Provide That A Forestry Operation That Conforms To Accepted Practices May Not Be Declared A Nuisance,Oppose,,Enacted,Became Law Without Governor'S Signature,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080243
L.D. 1416 (S.P. 466): An Act To Limit Qualified Immunity Of Law Enforcement Officers In Maine Civil Rights Act Claims,Support,"Social Justice, Free & Fair Elections",Passed Original Chamber,"Died Between Houses,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080293
L.D. 1417 (S.P. 467): An Act Regarding Campaign Finance Reform,Support,"Elections, Free & Fair Elections",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080295
L.D. 1682 (H.P. 1251): An Act To Require Consideration Of Climate And Equity Impacts By The Public Utilities Commission,Support,Utilities,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080769
L.D. 99 (H.P. 65): An Act To Require The State To Divest Itself Of Assets Invested In The Fossil Fuel Industry,Support,"Divestment, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078063
"L.D. 194 (S.P. 82): An Act To Prohibit Contributions, Expenditures And Participation By Foreign Government-Owned Entities To Influence Referenda""
(Emergency)",Support,"Elections, Free & Fair Elections",Sent to Executive,Released. Placed In Legislative Files (Dead),https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078256
"L.D. 1572 (H.P. 1169): Resolve, To Analyze The Impact Of Sea Level Rise""
(Governor'S Bill)",Support,"Sea-level rise, Climate Change: Prevention & Reaction",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080599
L.D. 1662 (H.P. 1233): An Act To Update Maine'S Sales Prohibition On Upholstered Furniture Treated With Flame-Retardant Chemicals,Oppose,Toxics,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080733
L.D. 68 (H.P. 34): An Act To Introduce A Career And Fiscal Management Elective Course At The High School Level,Support,Miscellanous,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078008
L.D. 125 (S.P. 58): An Act To Prohibit The Aerial Spraying Of Glyphosate And Other Synthetic Herbicides For The Purpose Of Silviculture,Support,"Insect / Pest Control (pollinators, mosquitos, etc.), Food & Ag",Sent to Executive,"Veto Sustained,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078106
L.D. 226 (H.P. 161): An Act To Limit The Use Of Hydrofluorocarbons To Fight Climate Change,Support,,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078280
"L.D. 155 (H.P. 111): Resolve, Directing The Board Of Pesticides Control To Prohibit The Use Of Certain Neonicotinoids For Outdoor Residential Use",Support,"Insect / Pest Control (pollinators, mosquitos, etc.), Food & Ag",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078133
L.D. 437 (S.P. 179): An Act To Establish The Maine Healthy Soils Program,Support,"Regenerative / Carbon Farming, Food & Ag",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078699
L.D. 453 (H.P. 329): An Act To Establish A Permanent Appointment Of A Member Of The Wabanaki Tribes To The Board Of Trustees Of The University Of Maine System,Support,Environmental Justice,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078733
L.D. 815 (S.P. 184): An Act To Support School Decarbonization,Support,"Renewable Standards, Energy",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078704
"L.D. 1498 (H.P. 1108): An Act To Prevent Increased Heating Fuel, Natural Gas, Gasoline And Diesel Fuel Pricing In Maine By Prohibiting Adoption Of Rules Limiting Greenhouse Gas Emissions",Oppose,"Natural Gas, Energy",Passed Original Chamber,"Died Between Houses,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080402
L.D. 78 (H.P. 44): An Act To Protect Children From Extreme Poverty By Preserving Children'S Access To Temporary Assistance For Needy Families Benefits,Support,,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078027
L.D. 143 (H.P. 99): An Act To Make The Arrearage Management Program Permanent,Support,Utilities,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078143
"L.D. 202 (S.P. 91): Resolution, Proposing An Amendment To The Constitution Of Maine To Implement Ranked-Choice Voting",Support,Free & Fair Elections,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078265
L.D. 316 (H.P. 220): An Act To Prohibit The Use Of Chlorpyrifos,Support,"Insect / Pest Control (pollinators, mosquitos, etc.), Food & Ag",Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078520
"L.D. 870 (H.P. 638): Resolve, Directing The Permanent Commission On The Status Of Racial, Indigenous And Maine Tribal Populations To Study The Impact Of Policies Regarding Agriculture, Access To Land, Access To Grants And Access To Financing On African-American And Indigenous Farmers In The State",Support,Food & Ag,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079333
L.D. 1028 (S.P. 323): An Act To Ease Business Expansion By Increasing The Number And Applicability Of Permit Exemptions Under The Site Location Of Development Laws,Oppose,Miscellanous,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079497
L.D. 1555 (H.P. 1160): An Act To Fund Broadband Internet Infrastructure For Marginalized Groups In The State,Support,Utilities,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080521
L.D. 342 (H.P. 240): An Act To Establish A Permanent Appointment Of A Member Of The Wabanaki Tribes To The Marine Resources Advisory Council,Support,Environmental Justice,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078549
L.D. 361 (H.P. 259): An Act To Establish A Permanent Appointment Of A Member Of The Wabanaki Tribes To The Inland Fisheries And Wildlife Advisory Council,Support,Environmental Justice,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078553
L.D. 67 (H.P. 33): An Act To Assist In The Restoration Of Atlantic Salmon,Support,Water,Enacted,Signed By The Governor,https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078006
"L.D. 489 (S.P. 196): Resolution, Proposing An Amendment To The Constitution Of Maine To Establish A Right To A Healthy Environment",Support,Miscellanous,Passed Original Chamber,"Died On Adjournment,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280078795
L.D. 883 (S.P. 298): An Act To Protect Endangered Species Whose Life Cycles Include Maine Land Or Waters,Support,Species / Habitat,Passed Original Chamber,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280079289
L.D. 1595 (H.P. 1184): An Act To Address Waste Associated With Solar Energy Equipment,Oppose,"Solar, Energy",Passed Original Chamber,"Accepted Majority (Ontp) Report,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080628
L.D. 1540 (H.P. 1145): An Act To Reduce Hunger And Use Food Scraps In Farming And Energy Production,Support,"Food, Waste",Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080516
L.D. 1532 (H.P. 1136): An Act To Protect Maine'S Air Quality By Strengthening Requirements For Air Emissions Licensing,Support,"Air Quality, Climate Change: Prevention & Reaction",Introduced or Prefiled,"Ought Not To Pass Pursuant To Joint Rule 310,",https://legislature.maine.gov/LawMakerWeb/summary.asp?ID=280080470
