Maine 2025 Priority Bills,Stance,Issues,Status Text,Future Hearing Dates,Last Timeline Action,Source Link,AI Summary,Sponsors List,Cosponsors List
L.D. 14 (S.P. 27): An Act to Provide Indigenous Peoples Free Access to State Parks,Support,,Sent to Executive,,"Carried Over, In The Same Posture, To Any Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 800.",https://legislature.maine.gov/billtracker/#Paper/SP0027?legislature=132,"This legislative text is a committee amendment to S.P. 27, L.D. 14, titled 'An Act to Provide Indigenous Peoples Free Access to State Parks' in the State of Maine's 132nd Legislature. The amendment specifically adds a fiscal note to the bill, which means it now includes an official estimate of the financial impact or cost associated with implementing the legislation. The original bill aims to grant Indigenous Peoples free access to state parks, aligning with efforts to recognize and support Indigenous rights and access to public lands. The inclusion of the fiscal note does not alter the substantive provisions of the bill but ensures that lawmakers and the public are informed about the potential budgetary implications. No specific funding figures, deadlines, or further statutory modifications are detailed in this amendment text.",ME Sen. Craig Hickman (D-ME-014),"ME Sen. Donna Bailey (D-ME-031), ME Sen. Rick Bennett (R-ME-018), ME Speaker Ryan Fecteau (D-ME-132), ME Rep. Tavis Hasenfus (D-ME-057), ME Sen. Mike ""Michael"" Tipping (D-ME-008)"
L.D. 593 (S.P. 277): An Act to Extend Funding for the Land for Maine's Future Program,Support,,Sent to Executive,,"Carried Over, In The Same Posture, To Any Special Or Regular Session Of The 132Nd Legislature, Pursuant To Joint Order Sp 800.",https://legislature.maine.gov/billtracker/#Paper/SP0277?legislature=132,"This legislative text pertains to an amendment to S.P. 277, L.D. 593, titled 'An Act to Extend Funding for the Land for Maine's Future Program.' The amendment specifically incorporates a fiscal note into the bill, which typically provides detailed information regarding the financial implications of the proposed legislation. While the text does not specify the exact funding amounts or allocations, the inclusion of a fiscal note suggests that the bill will have budgetary impacts related to the continued support of the Land for Maine's Future Program. No explicit changes to existing statutes or regulations are detailed in this excerpt, nor are specific timelines or deadlines mentioned. The key point of this amendment is to ensure that the financial aspects of extending the program are formally considered and documented, aligning with the organization's mission to support conservation, land preservation, and responsible fiscal planning in Maine.",ME Sen. Russell Black (R-ME-005),"ME Rep. Mark Blier (R-ME-138), ME Sen. Stacy Brenner (D-ME-030), ME Rep. Stephan Bunker (D-ME-075), ME Rep. Lydia Crafts (D-ME-046), ME Rep. James ""Jim"" Dill (D-ME-026), ME Rep. John ""Jack"" Ducharme (R-ME-071), ME Rep. Randall ""Randy"" Hall (R-ME-074), ME Rep. Richard ""Rick"" Mason (R-ME-097), ME Sen. Cameron Reny (D-ME-013)"
L.D. 1065 (S.P. 438): An Act Regarding the Reduction and Recycling of Food Waste,Support,,Sent to Executive,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/SP0438?legislature=132,"This legislative amendment to Maine's 'An Act Regarding the Reduction and Recycling of Food Waste' (S.P. 438, L.D. 1065) primarily extends by three years the deadlines for various requirements related to the management and disposal of food waste by designated food waste generators. Specifically, the amendment changes several key implementation dates throughout Section 2147 of the law, moving deadlines from years such as 2027, 2029, and 2032 to 2030, 2032, and 2035, respectively. These changes affect when certain entities must comply with food waste reduction and recycling mandates, effectively providing additional time for compliance and planning. The amendment does not introduce new funding provisions or alter the core requirements of the original statute, but rather adjusts the timeline for compliance. This extension may impact organizations focused on environmental sustainability and waste reduction by delaying the anticipated benefits of reduced food waste, but it also allows more time for stakeholders to prepare for and implement the required changes. The amendment aligns with the mission of organizations working on food waste reduction by maintaining the legislative framework, though it postpones the achievement of its objectives.",ME Sen. Stacy Brenner (D-ME-030),"ME Sen. Rick Bennett (R-ME-018), ME Sen. Russell Black (R-ME-005), ME Rep. Laurie Osher (D-ME-025), ME Rep. William ""Bill"" Pluecker (I-ME-044), ME Rep. Ambureen Rana (D-ME-021), ME Sen. Denise Tepler (D-ME-024)"
L.D. 297 (H.P. 197): An Act Regarding the Management of Wastewater Treatment Plant Sludge at the State-owned Landfill,Watching,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/HP0197?legislature=132,"This House amendment to Committee Amendment 'A' for L.D. 297 modifies the management of oversized bulky waste and related residues from wastewater treatment plants in Maine. The amendment clarifies that, for any 12-month period ending before July 1, 2026, certain calculations regarding waste residue apply, and introduces new provisions for the period from July 1, 2026, to June 30, 2027. Specifically, during this latter period, up to 12,500 tons of residue composed of oversized bulky waste disposed of in a state-owned landfill may be classified as waste generated within the state, as defined by Title 38, Section 1303-C, Subsection 40-A. Additionally, for periods ending before July 1, 2026, up to 75,000 tons of additional excess residue (not composed of oversized bulky waste) used as daily cover in state-owned landfills may also be considered in-state waste, while for the period from July 1, 2026, to June 30, 2027, this cap is set at 37,500 tons. The amendment also updates statutory references to reflect these changes and provides for one-time allocations of $150,000 in fiscal year 2025-26 and $75,000 in 2026-27 from tipping fee revenues to the Department of Environmental Protection for remediation and waste management. These changes aim to clarify and adjust the regulatory framework for managing specific waste streams, aligning with the state's goals for responsible waste management and landfill use.","ME Rep. William ""Bill"" Bridgeo (D-ME-060)","ME Rep. Michael ""Mike"" Soboleski (R-ME-073)"
L.D. 427 (H.P. 281): An Act to Regulate Municipal Parking Space Minimums,Support,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/HP0281?legislature=132,"This Senate amendment to Committee Amendment 'A' for L.D. 427, 'An Act to Prohibit Mandatory Parking Space Minimums in State and Municipal Building Codes,' introduces several key changes to the proposed legislation. First, it redefines 'parking agreement' to mean a legally binding arrangement between a property developer and the owner of an off-site parking facility, specifying that required parking spaces must be located within 0.25 miles of the development site. The amendment also removes a previous provision that would have prohibited municipalities from requiring developers to provide off-street parking within 0.25 miles of a transit stop, thereby allowing municipalities to maintain such requirements if they choose. Additionally, the amendment shifts the authority for rulemaking from the previously designated entity to the Maine Office of Community Affairs, granting it the power to adopt routine technical rules to administer and enforce the section. No specific funding allocations or deadlines are mentioned in this amendment. These changes primarily impact local development regulations and the administrative oversight of parking requirements, aligning with efforts to provide flexibility in parking policy while maintaining local control and clear regulatory authority.",ME Rep. Amy Roeder (D-ME-023),
"L.D. 29 (S.P. 46): Resolve, to Require the Department of Transportation to Implement the Recommendations of the Lower Road Rail Use Advisory Council and the Calais Branch Rail Use Advisory Council",Support,,Enacted,,Final Disposition: Finally Passed,https://legislature.maine.gov/billtracker/#Paper/SP0046?legislature=132,"This House amendment to Committee Amendment 'A' for L.D. 29, 'Resolve, to Require the Department of Transportation to Implement the Recommendations of the Lower Road Rail Use Advisory Council,' introduces two significant restrictions regarding the removal of railroad tracks. First, it prohibits the Maine Department of Transportation from removing any portion of the specified railroad tracks if there is a pending request for proposals (RFP) from a train company or any other commercial enterprise seeking to use that section of track. Second, the amendment bars the Department from using state-provided funds or proceeds from state-issued bonds to finance the removal of these railroad tracks. These provisions modify the original resolve and committee amendment by adding protections for potential commercial rail use and by restricting the use of public funds for track removal. No specific funding allocations or deadlines are introduced in this amendment. The key points align with the organization's mission if it is focused on preserving rail infrastructure, supporting commercial rail opportunities, and ensuring responsible use of public funds.",ME Sen. Mattie Daughtry (D-ME-023),ME Rep. Sally Cluchey (D-ME-052)
"L.D. 1359 (H.P. 882): Resolve, to Direct the Department of Transportation to Report Progress Made Toward Implementing Recommendations Based on the 2025 Public Transit Advisory Council Report",Support,,Enacted,,Final Disposition: Finally Passed,https://legislature.maine.gov/billtracker/#Paper/HP0882?legislature=132,"This legislative amendment to L.D. 1359 directs the Maine Department of Transportation to submit a comprehensive report to the Joint Standing Committee on Transportation by December 3, 2025. The report must detail the department's progress in implementing the recommendations from the 2025 Public Transit Advisory Council report, as required by Maine Revised Statutes, Title 23, section 4209-A, subsection 5. The report should include a summary of actions already taken, with specific dates, as well as a timeline for future actions and a list of recommendations that have not yet been implemented. The amendment also authorizes the Joint Standing Committee on Transportation to propose new legislation in the Second Regular Session of the 132nd Legislature based on the findings of this report. This amendment replaces the original resolve and updates the title to reflect the new focus on reporting progress rather than developing practices. No specific funding allocations are mentioned in the amendment, but a fiscal note is required. The key point of this amendment is to ensure accountability and transparency in the implementation of public transit improvements, aligning with goals to enhance public transportation systems and oversight in Maine.",ME Rep. Lydia Crafts (D-ME-046),"ME Rep. Daniel ""Dan"" Ankeles (D-ME-100), ME Sen. Brad Farrin (R-ME-003), ME Rep. Karen Montell (D-ME-054), ME Sen. Tim ""Timothy"" Nangle (D-ME-026)"
L.D. 1423 (S.P. 579): An Act to Improve Recycling by Updating the Stewardship Program for Packaging,Support,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/SP0579?legislature=132,"This legislative amendment to Maine's stewardship program for packaging materials introduces several significant changes to the existing law (38 MRSA §2146). It revises and clarifies key definitions, including 'consumer,' 'packaging material,' 'post-consumer recycled material,' 'producer,' and 'toxicity.' Notably, the definition of 'packaging material' is expanded to exclude packaging associated with certain federally regulated products, such as drugs, medical devices, biologics, and products regulated under the Federal Insecticide, Fungicide, and Rodenticide Act, as well as specific nutritional supplements and medical foods. The amendment also refines the definition of 'producer' to clarify responsibility in various sales scenarios, including internet-based transactions, franchises, and cases where responsibility is contractually assigned to another party. Nonprofit organizations exempt under federal tax law are excluded from the definition of 'producer.'

The bill modifies producer exemption criteria, particularly for those dealing with perishable foods. Producers are now exempt from stewardship requirements for the first 15 tons of packaging material used for perishable food products sold or distributed in Maine during the previous calendar year. The definition of 'perishable food' is clarified to include fresh and processed meats, poultry, seafood, dairy, bakery products, eggs, and fresh fruits and vegetables, but excludes most frozen foods except for frozen wild blueberries. Producers must provide documentation to the Department of Environmental Protection within 30 days if claiming an exemption.

The amendment enhances the requirements for the statewide recycling needs assessment, mandating that the stewardship organization evaluate the producer payment schedule's effectiveness in incentivizing the use of readily recyclable packaging and supporting Maine's solid waste management hierarchy. Following the execution of a contract with the Department of Environmental Protection, the stewardship organization may recommend changes to the payment schedule to further these goals, and the department may initiate rulemaking to implement such modifications.

Reporting and compliance provisions are also updated. The stewardship organization and the department must now provide and publish lists of compliant and non-compliant producers and brands, rather than relying solely on product UPCs. Producers are not required to report packaging material data using UPCs. Additionally, producers are protected from increased fees or penalties for not using post-consumer recycled material in packaging if such use is prohibited by state or federal law. Municipalities participating in the stewardship program are required to provide for the collection and recycling of any readily recyclable packaging material generated within their jurisdiction.

Overall, these changes aim to clarify responsibilities, streamline exemptions, and better align the stewardship program with Maine's recycling and waste management objectives, while ensuring compliance with federal regulations and providing flexibility for producers and municipalities.",ME Sen. Joe Baldacci (D-ME-009),
L.D. 1868 (S.P. 738): An Act to Advance a Clean Energy Economy by Updating Renewable and Clean Resource Procurement Laws,Watching,,Enacted,,Final Disposition: Enacted,https://legislature.maine.gov/billtracker/#Paper/SP0738?legislature=132,"This committee amendment to Maine Senate Bill S.P. 738, L.D. 1868, titled 'An Act to Advance a Clean Energy Economy by Updating Renewable and Clean Resource Procurement Laws,' makes several significant changes to the original bill. First, it removes provisions that would have directed the Governor’s Energy Office to conduct procurements of renewable and clean energy resources and authorized the office to adopt related rules, as well as the section imposing a special assessment on investor-owned utilities for office expenditures. The amendment revises the definition of 'Class III resource' or 'clean resource' to include sources such as nuclear power plants and hydroelectric generators that comply with all state and federal fish passage requirements, and it sets criteria for other sources to qualify as Class III resources, including those with minimal greenhouse gas and co-pollutant emissions as certified by the Department of Environmental Protection and the Governor's Energy Office. Additionally, the amendment clarifies that the Public Utilities Commission (PUC) may coordinate with other states to procure transmission capacity, capacity resources, renewable energy credits, or clean energy credits through long-term contracts or other mechanisms, provided that the likely benefits to Maine ratepayers exceed the likely costs. The amendment also removes the requirement for the PUC to conduct a competitive solicitation for energy or renewable energy credits from eligible Class IA resources and makes various technical changes for consistency throughout the bill. No specific funding allocations or deadlines are introduced in this amendment. The changes align with the state's clean energy and climate goals by broadening the definition of clean resources and enabling regional coordination, but they also reduce the direct role of the Governor’s Energy Office in procurement and oversight.",ME Sen. Mark Lawrence (D-ME-035),
L.D. 529 (H.P. 348): An Act to Establish the Alamoosook Lake Watershed Management District,Support,,Sent to Executive,,Final Disposition: Emergency Enacted,https://legislature.maine.gov/billtracker/#Paper/HP0348?legislature=132,"This legislative amendment establishes the Alamoosook Lake Watershed Management District as a quasi-municipal corporation in the Town of Orland, Maine, subject to approval by local voters through a referendum to be held after June 1, 2025 and within two years of the Act’s effective date. The district is created to assume ownership, maintenance, and operation of the dam on Alamoosook Lake, following a petition by the current dam owner for release of ownership under Maine law (Title 38, chapter 5, subchapter 1, article 6). The district will also coordinate water level management and undertake watershed improvement activities, such as fish passage enhancements, water quality monitoring, and invasive species control. The district’s governance will be managed by a five-member board of trustees, with three appointed by the Town of Orland and two elected by waterfront property owners, ensuring representation from both the municipality and local stakeholders. Trustees serve staggered terms, and the board is responsible for financial management, public communications, and policy development for the watershed. Funding for the district’s operations will be split evenly: 50% from the Town of Orland (subject to annual voter approval) and 50% from assessments on waterfront property owners, calculated based on shoreline frontage (capped at 300 feet per property). If the town fails to appropriate its share, the shortfall is covered by increased assessments on property owners. The district is exempt from local taxation, qualifies for grants and loans as a municipality, and is eligible for state agency assistance. The Act includes provisions for public budget hearings, annual budget approval processes, and mechanisms for the Town of Orland to withdraw from the district or for the district to dissolve. The emergency preamble allows for immediate action to meet statutory deadlines related to dam ownership transfer and municipal consultation. The legislation aligns with environmental stewardship and local governance by providing a structured, community-based approach to dam and watershed management, ensuring both municipal and property owner participation in decision-making and funding.",ME Rep. Nina Milliken (D-ME-016),"ME Rep. Steven ""Steve"" Bishop (R-ME-017), ME Sen. Nicole Grohoski (D-ME-007), ME Sen. David Haggan (R-ME-010), ME Rep. Matt Moonen (D-ME-117)"
